# Календарь на 2022 год.
# "X" — выходной (сб, вс), "-" — дня нет в этом месяце.
#
        | 1| 2| 3| 4| 5| 6| 7| 8| 9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31
Январь  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|
Февраль |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  | -| -| -
Март    |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |
Апрель  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| -
Май     | X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |
Июнь    |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  | -
Июль    |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X
Август  |  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |
Сентябрь|  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | -
Октябрь | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|
Ноябрь  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  | -
Декабрь |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X| X|  |  |  |  |  | X
